time,agl
2000-01-15,7.559154619229957e-05
2000-02-15,7.562491373391822e-05
2000-03-15,9.857542318059132e-05
2000-04-15,0.00014597507833968848
2000-05-15,0.00020584404410328716
2000-06-15,0.00024128516088239849
2000-07-15,0.0002808196877595037
2000-08-15,0.00023058411898091435
2000-09-15,0.00022345971956383437
2000-10-15,0.00018323163385502994
2000-11-15,0.00011919552343897521
2000-12-15,9.074851550394669e-05
2001-01-15,7.160446693887934e-05
2001-02-15,6.916587153682485e-05
2001-03-15,9.337606024928391e-05
2001-04-15,0.00013827563088852912
2001-05-15,0.00019498680194374174
2001-06-15,0.00022855856514070183
2001-07-15,0.0002660078462213278
2001-08-15,0.00021842194837518036
2001-09-15,0.00021167333761695772
2001-10-15,0.0001735670812195167
2001-11-15,0.00011290855036349967
2001-12-15,8.596198313171044e-05
2002-01-15,7.585487037431449e-05
2002-02-15,7.32715125195682e-05
2002-03-15,9.89188120001927e-05
2002-04-15,0.00014648359501734376
2002-05-15,0.00020656110427808017
2002-06-15,0.00024212566495407373
2002-07-15,0.00028179792570881546
2002-08-15,0.00023138735559768975
2002-09-15,0.0002242381451651454
2002-10-15,0.0001838699245126918
2002-11-15,0.00011961074051214382
2002-12-15,9.106464131036773e-05
2003-01-15,7.478581392206252e-05
2003-02-15,7.223887223517522e-05
2003-03-15,9.75247094174847e-05
2003-04-15,0.0001444191439077258
2003-05-15,0.00020364996453281492
2003-06-15,0.00023871331359259784
2003-07-15,0.00027782644610852003
2003-08-15,0.00022812631505075842
2003-09-15,0.00022107789118308574
2003-10-15,0.00018127857765648514
2003-11-15,0.00011792502482421696
2003-12-15,8.97812278708443e-05
2004-01-15,7.487566472264007e-05
2004-02-15,7.490872667403892e-05
2004-03-15,9.764188143890351e-05
2004-04-15,0.00014459264639299363
2004-05-15,0.00020389464043546468
2004-06-15,0.00023900011728983372
2004-07-15,0.0002781602379400283
2004-08-15,0.00022840041492599994
2004-09-15,0.0002213434927398339
2004-10-15,0.0001814963761717081
2004-11-15,0.00011806670227088034
2004-12-15,8.988910121843219e-05
2005-01-15,7.364628254435956e-05
2005-02-15,7.113815081538633e-05
2005-03-15,9.603870421415195e-05
2005-04-15,0.00014221858873497695
2005-05-15,0.00020054689957760274
2005-06-15,0.00023507597506977618
2005-07-15,0.0002735931193456054
2005-08-15,0.00022465031361207366
2005-09-15,0.00021770925377495587
2005-10-15,0.00017851639131549746
2005-11-15,0.00011612816888373345
2005-12-15,8.841320959618315e-05
2006-01-15,7.334436668315902e-05
2006-02-15,7.084650860633701e-05
2006-03-15,9.564498759573326e-05
2006-04-15,0.0001416355516994372
2006-05-15,0.00019972474547103047
2006-06-15,0.00023411225993186235
2006-07-15,0.00027247151592746377
2006-08-15,0.00022372933744918555
2006-09-15,0.00021681672660633922
2006-10-15,0.00017778456094674766
2006-11-15,0.00011565209570107982
2006-12-15,8.80507577676326e-05
2007-01-15,7.326812192332e-05
2007-02-15,7.077286136336625e-05
2007-03-15,9.554555435897782e-05
2007-04-15,0.00014148831542115659
2007-05-15,0.0001995171041926369
2007-06-15,0.0002338688645977527
2007-07-15,0.0002721882483456284
2007-08-15,0.00022349675418809056
2007-09-15,0.00021659134654328227
2007-10-15,0.00017759972251951694
2007-11-15,0.00011553186050150543
2007-12-15,8.795921894488856e-05
2008-01-15,7.541449303971604e-05
2008-02-15,7.544778782175854e-05
2008-03-15,9.834454249357805e-05
2008-04-15,0.000145633181091398
2008-05-15,0.00020536192459985614
2008-06-15,0.00024072002270258963
2008-07-15,0.00028016194119118154
2008-08-15,0.00023004403919912875
2008-09-15,0.00022293634538073093
2008-10-15,0.00018280246877111495
2008-11-15,0.000118916344945319
2008-12-15,9.053596295416355e-05
2009-01-15,7.540968363173306e-05
2009-02-15,7.284148887265474e-05
2009-03-15,9.833827061811462e-05
2009-04-15,0.0001456238969694823
2009-05-15,0.0002053488278761506
2009-06-15,0.0002407046704320237
2009-07-15,0.0002801440714392811
2009-08-15,0.00023002937086857855
2009-09-15,0.00022292211360763758
2009-10-15,0.00018279081268701702
2009-11-15,0.0001189087561215274
2009-12-15,9.05301931197755e-05
2010-01-15,7.581674435641617e-05
2010-02-15,7.323468889808282e-05
2010-03-15,9.886909538181499e-05
2010-04-15,0.00014640996232628822
2010-05-15,0.000206457290914841
2010-06-15,0.00024200399639084935
2010-07-15,0.000281656306469813
2010-08-15,0.0002312710857950151
2010-09-15,0.00022412545513361692
2010-10-15,0.00018377751985099167
2010-11-15,0.00011955062655033544
2010-12-15,9.10188682610169e-05
2011-01-15,7.537232158938423e-05
2011-02-15,7.2805407398846e-05
2011-03-15,9.828955080593005e-05
2011-04-15,0.00014555174857378006
2011-05-15,0.0002052470954367891
2011-06-15,0.00024058541748672724
2011-07-15,0.0002800053043756634
2011-08-15,0.0002299154148204252
2011-09-15,0.00022281169367488474
2011-10-15,0.00018270027067046613
2011-11-15,0.00011884985724464059
2011-12-15,9.048534411704168e-05
2012-01-15,7.69218968343921e-05
2012-02-15,7.695586100453511e-05
2012-03-15,0.00010031028068624437
2012-04-15,0.0001485441462136805
2012-05-15,0.0002094667433993891
2012-06-15,0.0002455315843690187
2012-07-15,0.00028576189652085304
2012-08-15,0.00023464224068447948
2012-09-15,0.00022739243286196142
2012-10-15,0.00018645638192538172
2012-11-15,0.0001212932838825509
2012-12-15,9.234561730409041e-05
2013-01-15,7.684881711611524e-05
2013-02-15,7.423161878250539e-05
2013-03-15,0.0001002149801934138
2013-04-15,0.0001484030217397958
2013-05-15,0.00020926773140672594
2013-06-15,0.00024529831716790795
2013-07-15,0.00028549041599035263
2013-08-15,0.00023441933444701135
2013-09-15,0.0002271763951284811
2013-10-15,0.00018627922690939158
2013-11-15,0.00012117804726585746
2013-12-15,9.225788380717859e-05
2014-01-15,7.6775744673796e-05
2014-02-15,7.41610347176902e-05
2014-03-15,0.00010011967970058322
2014-04-15,0.0001482618972659111
2014-05-15,0.00020906873396597803
2014-06-15,0.00024506504996679723
2014-07-15,0.00028521890635602176
2014-08-15,0.00023419639910571277
2014-09-15,0.00022696037194691598
2014-10-15,0.00018610208644531667
2014-11-15,0.00012106281064916402
2014-12-15,9.217015758622438e-05
2015-01-15,7.670266495551914e-05
2015-02-15,7.409044337691739e-05
2015-03-15,0.00010002438648371026
2015-04-15,0.0001481207727920264
2015-05-15,0.00020886972197331488
2015-06-15,0.0002448317827656865
2015-07-15,0.00028494742582552135
2015-08-15,0.00023397349286824465
2015-09-15,0.00022674433421343565
2015-10-15,0.00018592494598124176
2015-11-15,0.00012094757403247058
2015-12-15,9.208242408931255e-05
2016-01-15,7.662958523724228e-05
2016-02-15,7.666341844014823e-05
2016-03-15,9.992908599087968e-05
2016-04-15,0.0001479796483181417
2016-05-15,0.00020867070998065174
2016-06-15,0.0002445985155645758
2016-07-15,0.00028467594529502094
2016-08-15,0.00023375055752694607
2016-09-15,0.00022652832558378577
2016-10-15,0.00018574780551716685
2016-11-15,0.00012083233741577715
2016-12-15,9.199469786835834e-05
2017-01-15,7.655651279492304e-05
2017-02-15,7.394926069537178e-05
2017-03-15,9.983378549804911e-05
2017-04-15,0.00014783853839617223
2017-05-15,0.00020847171253990382
2017-06-15,0.00024436524836346507
2017-07-15,0.0002844044647645205
2017-08-15,0.00023352765128947794
2017-09-15,0.0002263122732983902
2017-10-15,0.00018557066505309194
2017-11-15,0.00012071711535099894
2017-12-15,9.190696437144652e-05
2018-01-15,7.648343307664618e-05
2018-02-15,7.387866935459897e-05
2018-03-15,9.973849228117615e-05
2018-04-15,0.0001476973993703723
2018-05-15,0.00020827270054724067
2018-06-15,0.00024413198116235435
2018-07-15,0.0002841329842340201
2018-08-15,0.00023330471594817936
2018-09-15,0.00022609623556490988
2018-10-15,0.00018539352458901703
2018-11-15,0.00012060188601026312
2018-12-15,9.181923815049231e-05
2019-01-15,7.641035335836932e-05
2019-02-15,7.380807801382616e-05
2019-03-15,9.964319906430319e-05
2019-04-15,0.0001475562748964876
2019-05-15,0.00020807368855457753
2019-06-15,0.00024389871396124363
2019-07-15,0.00028386147459968925
2019-08-15,0.00023308180971071124
2019-09-15,0.00022588021238334477
2019-10-15,0.00018521638412494212
2019-11-15,0.00012048664939356968
2019-12-15,9.173150465358049e-05
2020-01-15,7.633728091605008e-05
2020-02-15,7.637097587576136e-05
2020-03-15,9.954789857147262e-05
2020-04-15,0.00014741516497451812
2020-05-15,0.0002078746911138296
2020-06-15,0.00024366547586396337
2020-07-15,0.00028358999406918883
2020-08-15,0.00023285887436941266
